Ride,Date/Time,Wait Time
TRON Lightcycle / Run,2023-03-21 16:38:26,122
TRON Lightcycle / Run,2023-03-21 16:40:16,123
TRON Lightcycle / Run,2023-03-21 16:43:26,123
TRON Lightcycle / Run,2023-03-21 16:45:17,124
TRON Lightcycle / Run,2023-03-21 16:48:27,124
TRON Lightcycle / Run,2023-03-21 16:50:17,124
TRON Lightcycle / Run,2023-03-21 16:53:26,125
TRON Lightcycle / Run,2023-03-21 16:55:16,125
TRON Lightcycle / Run,2023-03-21 16:58:27,127
TRON Lightcycle / Run,2023-03-21 17:00:16,128
TRON Lightcycle / Run,2023-03-21 17:03:26,129
TRON Lightcycle / Run,2023-03-21 17:05:16,130
TRON Lightcycle / Run,2023-03-21 17:08:26,130
TRON Lightcycle / Run,2023-03-21 17:10:16,132
TRON Lightcycle / Run,2023-03-21 17:14:26,133
TRON Lightcycle / Run,2023-03-21 17:15:17,134
TRON Lightcycle / Run,2023-03-21 17:18:27,135
TRON Lightcycle / Run,2023-03-21 17:20:16,135
TRON Lightcycle / Run,2023-03-21 17:23:26,135
TRON Lightcycle / Run,2023-03-21 17:25:17,135
TRON Lightcycle / Run,2023-03-21 17:28:26,135
TRON Lightcycle / Run,2023-03-21 17:30:17,136
TRON Lightcycle / Run,2023-03-21 17:33:27,136
TRON Lightcycle / Run,2023-03-21 17:35:16,137
TRON Lightcycle / Run,2023-03-21 17:38:26,137
TRON Lightcycle / Run,2023-03-21 17:40:17,138
TRON Lightcycle / Run,2023-03-21 17:43:26,138
TRON Lightcycle / Run,2023-03-21 17:45:17,138
TRON Lightcycle / Run,2023-03-21 17:48:27,138
TRON Lightcycle / Run,2023-03-21 17:50:17,138
TRON Lightcycle / Run,2023-03-21 17:53:26,138
TRON Lightcycle / Run,2023-03-21 17:55:16,138
TRON Lightcycle / Run,2023-03-21 17:58:26,138
TRON Lightcycle / Run,2023-03-21 18:00:16,139
TRON Lightcycle / Run,2023-03-21 18:03:26,139
TRON Lightcycle / Run,2023-03-21 18:05:17,140
TRON Lightcycle / Run,2023-03-21 18:08:27,140
TRON Lightcycle / Run,2023-03-21 18:10:16,142
TRON Lightcycle / Run,2023-03-21 18:14:26,142
TRON Lightcycle / Run,2023-03-21 18:15:16,143
TRON Lightcycle / Run,2023-03-21 18:18:26,143
TRON Lightcycle / Run,2023-03-21 18:20:16,144
TRON Lightcycle / Run,2023-03-21 18:23:26,145
TRON Lightcycle / Run,2023-03-21 18:25:16,146
TRON Lightcycle / Run,2023-03-21 18:28:27,146
TRON Lightcycle / Run,2023-03-21 18:30:16,147
TRON Lightcycle / Run,2023-03-21 18:33:26,147
TRON Lightcycle / Run,2023-03-21 18:35:16,148
TRON Lightcycle / Run,2023-03-21 18:38:26,149
TRON Lightcycle / Run,2023-03-21 18:40:17,150
TRON Lightcycle / Run,2023-03-21 18:43:26,150
TRON Lightcycle / Run,2023-03-21 18:45:16,154
TRON Lightcycle / Run,2023-03-21 18:48:26,154
TRON Lightcycle / Run,2023-03-21 18:50:16,154
TRON Lightcycle / Run,2023-03-21 18:53:26,154
TRON Lightcycle / Run,2023-03-21 18:55:16,154
TRON Lightcycle / Run,2023-03-21 18:58:27,154
TRON Lightcycle / Run,2023-03-21 19:00:16,154
TRON Lightcycle / Run,2023-03-21 19:03:27,154
TRON Lightcycle / Run,2023-03-21 19:05:17,154
TRON Lightcycle / Run,2023-03-21 19:08:26,154
TRON Lightcycle / Run,2023-03-21 19:10:17,154
TRON Lightcycle / Run,2023-03-21 19:14:26,154
TRON Lightcycle / Run,2023-03-21 19:15:16,154
TRON Lightcycle / Run,2023-03-21 19:18:26,154
TRON Lightcycle / Run,2023-03-21 19:20:17,154
TRON Lightcycle / Run,2023-03-21 19:23:27,154
TRON Lightcycle / Run,2023-03-21 19:25:16,154
TRON Lightcycle / Run,2023-03-21 19:28:26,154
TRON Lightcycle / Run,2023-03-21 19:30:16,154
TRON Lightcycle / Run,2023-03-21 19:33:26,154
TRON Lightcycle / Run,2023-03-21 19:35:16,154
TRON Lightcycle / Run,2023-03-21 19:38:26,154
TRON Lightcycle / Run,2023-03-21 19:40:16,154
TRON Lightcycle / Run,2023-03-21 19:43:26,154
TRON Lightcycle / Run,2023-03-22 08:48:26,15
TRON Lightcycle / Run,2023-03-22 08:50:16,15
TRON Lightcycle / Run,2023-03-22 08:53:27,16
TRON Lightcycle / Run,2023-03-22 08:55:16,17
TRON Lightcycle / Run,2023-03-22 08:58:26,17
TRON Lightcycle / Run,2023-03-22 09:00:16,18
TRON Lightcycle / Run,2023-03-22 09:03:26,18
TRON Lightcycle / Run,2023-03-22 09:05:17,19
TRON Lightcycle / Run,2023-03-22 09:08:26,20
TRON Lightcycle / Run,2023-03-22 09:10:16,20
TRON Lightcycle / Run,2023-03-22 09:14:26,21
TRON Lightcycle / Run,2023-03-22 09:15:16,22
TRON Lightcycle / Run,2023-03-22 09:18:26,22
TRON Lightcycle / Run,2023-03-22 09:20:16,23
TRON Lightcycle / Run,2023-03-22 09:23:27,23
TRON Lightcycle / Run,2023-03-22 09:25:16,24
TRON Lightcycle / Run,2023-03-22 09:28:26,24
